"","cohort1 C1D01 log2fc","cohort1 C1D08 log2fc","cohort1 C1D15 log2fc","cohort1 C1D22 log2fc","cohort1 C2D01 log2fc","cohort1 C2D08 log2fc","cohort1 C2D15 log2fc","cohort1 C3D01 log2fc","cohort1 C4D01 log2fc","cohort1 FUW04 log2fc","cohort1 FUW12 log2fc","cohort1 C1D01 p.value","cohort1 C1D08 p.value","cohort1 C1D15 p.value","cohort1 C1D22 p.value","cohort1 C2D01 p.value","cohort1 C2D08 p.value","cohort1 C2D15 p.value","cohort1 C3D01 p.value","cohort1 C4D01 p.value","cohort1 FUW04 p.value","cohort1 FUW12 p.value","cohort1 C1D01 BH.FDR","cohort1 C1D08 BH.FDR","cohort1 C1D15 BH.FDR","cohort1 C1D22 BH.FDR","cohort1 C2D01 BH.FDR","cohort1 C2D08 BH.FDR","cohort1 C2D15 BH.FDR","cohort1 C3D01 BH.FDR","cohort1 C4D01 BH.FDR","cohort1 FUW04 BH.FDR","cohort1 FUW12 BH.FDR","cohort2 C1D08 log2fc","cohort2 C1D15 log2fc","cohort2 C1D22 log2fc","cohort2 C2D01 log2fc","cohort2 C2D08 log2fc","cohort2 C2D15 log2fc","cohort2 C3D01 log2fc","cohort2 C4D01 log2fc","cohort2 FUW04 log2fc","cohort2 FUW12 log2fc","cohort2 C1D08 p.value","cohort2 C1D15 p.value","cohort2 C1D22 p.value","cohort2 C2D01 p.value","cohort2 C2D08 p.value","cohort2 C2D15 p.value","cohort2 C3D01 p.value","cohort2 C4D01 p.value","cohort2 FUW04 p.value","cohort2 FUW12 p.value","cohort2 C1D08 BH.FDR","cohort2 C1D15 BH.FDR","cohort2 C1D22 BH.FDR","cohort2 C2D01 BH.FDR","cohort2 C2D08 BH.FDR","cohort2 C2D15 BH.FDR","cohort2 C3D01 BH.FDR","cohort2 C4D01 BH.FDR","cohort2 FUW04 BH.FDR","cohort2 FUW12 BH.FDR"
"INPP5D",-0.0517589990977598,-0.181393624244493,-0.181578467200336,0.0957229521111046,-0.256144391203911,-0.323159870323938,0.103264152536785,-0.101471417509677,0.107062077053246,-0.114281100887035,0.131532401207959,0.839487308285119,0.375211492808661,0.466964095220367,0.684790524823869,0.431546254396444,0.290322709989775,0.701608399763873,0.716106786082107,0.549529005692533,0.667254190286714,0.625447615613832,0.868646830876376,0.440601047571996,0.57834065184842,0.896950706415988,0.543292008651001,0.363403691351434,0.8273132380549,0.971150144921145,0.889968934452836,0.875770256748064,0.845959482253223,-0.114390051205753,0.315476949853173,0.15620902774476,0.131462861036831,0.213030318831405,0.124227095681745,0.0274012809195102,0.113092030418148,-0.0406406716857546,0.0438884864040745,0.427280979059365,0.0575340214738484,0.266896542790022,0.442109257687544,0.194153243872165,0.412681082156962,0.883016297296961,0.415354700158738,0.860303544360377,0.727112094385218,0.851663772031153,0.457275604243889,0.835609065321038,0.985597039484581,0.880215769603307,0.840484054648286,0.999874676446854,0.999422392379728,0.954291506392401,0.906487765246769
"CD53",0.515116641883153,0.732557794605744,0.0505562953635882,0.34542728686289,0.196819211326636,0.552758118783832,0.667637214728099,0.130040805732198,0.248747956092117,0.101712044292881,0.144677127316681,0.0195418123005923,0.0149516901991817,0.954226946282096,0.223726941295628,0.44537297234159,0.0818307704874881,0.0103497275979983,0.678685921834758,0.129754257763434,0.727646879762421,0.585851905272603,0.0466694757896003,0.0285062188841894,0.963456779373565,0.553073897031076,0.5564704246034,0.128656155821995,0.058422594101848,0.967597561104466,0.713018542661202,0.889520807657733,0.842822457326775,-0.382219941730791,0.387794883886897,0.236692074564522,0.0638998323602069,0.133551770628257,0.172691900902629,0.0171382381395989,-0.000549354904299726,0.0574676084417695,0.324244732124096,0.206614981375765,0.164281069411353,0.151217265439007,0.81369183513501,0.485069389069546,0.416066731133321,0.952959542429449,0.9985412525862,0.840261174091634,0.262911756348782,0.829332058865982,0.573839340980551,0.835609065321038,0.985597039484581,0.964187665358425,0.840484054648286,0.999874676446854,0.999422392379728,0.954291506392401,0.67948883147676
"CD9",1.07871347559442,1.19735219203798,1.14445974104138,0.702704988111405,0.975082675344798,1.03194266739257,0.829231782769034,-0.0725374608890322,-0.319501419585596,-0.575138830904627,-0.377192839608556,1.46450341097621e-05,0.000647500687922489,0.00100816378403878,0.0146986760143899,0.00221465847682301,0.0438041294326461,0.0279307357903999,0.701294847252745,0.282615916727631,0.0333314080668355,0.222399443806566,0.000350863017798899,0.00263658553499373,0.00957707495016782,0.365185380005549,0.0164933776037082,0.0777214334134097,0.102654522450431,0.971150144921145,0.798335783654638,0.480031639439955,0.59777360843758,-0.279321667475146,0.629983802519333,0.49977044495995,0.16084546156547,0.253176989053479,0.462036483201704,0.457134945418205,0.0136548710323122,-0.202055092012482,-0.14797766923808,0.444081658404647,0.0132987775246024,0.0348840721566785,0.646336070320994,0.537040898440576,0.107688430412155,0.291381171615912,0.970502438761654,0.549898425041575,0.543995273731737,0.851663772031153,0.373245874658575,0.827091246397003,0.985597039484581,0.964187665358425,0.728961031233773,0.976462085782201,0.999422392379728,0.925504671078065,0.803121181776492
"TICAM2",1.34052223900999,1.48168877706437,0.669997827564099,0.201662181129209,0.789920710636952,1.15963621761906,0.184938101936929,-0.230470747198033,0.0290871197090262,0.138457434345661,-0.16780285713457,0.000404296270478336,0.00416512130894549,0.0639715460174955,0.490104836852305,0.0091728022187935,0.0173975878422523,0.519982047926492,0.542312743102799,0.909110870656969,0.637925764151429,0.617592882908893,0.00275700830229805,0.0101178483298847,0.13284205271256,0.759998185365492,0.0361155135812447,0.0374411966491057,0.694126979071686,0.961712447162925,0.983499591544167,0.867861112464012,0.845959482253223,-0.456478007093326,0.771037848285703,0.682891104786806,0.320493715000976,0.662316604589726,0.866876421658276,0.526089668283809,0.580309078211202,0.390714012311822,0.337504933211256,0.358757400768478,0.0196532070005993,0.0732110835512628,0.45004770705345,0.0763279542762768,0.0206677386117087,0.272504944966829,0.148464319176527,0.207918998989192,0.235117901411206,0.851663772031153,0.373245874658575,0.827091246397003,0.985597039484581,0.842910902636484,0.663003192584927,0.976462085782201,0.999422392379728,0.86556571027551,0.664359860652414
"FCER1A",1.63971108859164,1.59850665634852,0.606082487347436,-0.315619807260159,1.20932800339246,1.59858732756317,-0.340418591955998,-0.257500825396153,-0.164080532787103,0.17623341149972,0.19159813696259,0.000799753925036141,4.65344904071008e-05,0.143816833446497,0.309582435322858,0.000121523592541846,0.00120606630137973,0.209966927432588,0.579669817143816,0.257767723699742,0.635109767326113,0.663757325606485,0.00427038416575902,0.000439116293537265,0.24082937198437,0.632576384089305,0.00398721838791171,0.00538714591909257,0.377273907704269,0.961712447162925,0.787900233531259,0.867861112464012,0.86975625303451,-0.689969763959823,-0.966664190010989,-0.207873690359479,-0.458290743583718,-0.433781038807777,-0.414436271458343,-0.660427800791939,-0.0623881715809561,0.162310417305669,0.710907270518732,0.18597412871665,0.0595029933047583,0.45513670722158,0.0932561303610426,0.243797136073668,0.319837054355959,0.136966527446523,0.90550492285849,0.703124349725714,0.108759685136225,0.829332058865982,0.457275604243889,0.855838459426626,0.985597039484581,0.916808329151813,0.831084532616379,0.97228035876662,0.999422392379728,0.951009965507351,0.526951170070531
"PIN1",0.055932194564172,0.0577662380093075,0.0551429225786646,0.0105022839592954,-0.160928689294847,-0.0170927736001265,0.0550430781296572,0.119806179362786,0.0794885347755752,0.175982863316439,0.334061668346117,0.753114576096051,0.685133442920775,0.607385611023524,0.898418194676544,0.171197493331987,0.921298678352874,0.762646065939,0.36765427943133,0.477382290826692,0.239749108502013,0.00860940979044683,0.807316003921145,0.729649199923469,0.69874035739698,0.968580377498902,0.27449796381276,0.936185012473477,0.86291113931152,0.959451781224681,0.866020437845857,0.637836485990126,0.217851697711755,0.0056405366366759,-0.139745598979565,-0.0626200081370984,0.0126683626495874,0.110381080200379,0.0551000524623311,-0.0893102435100854,0.0761697054098685,0.1390194471519,0.150839026265447,0.945098810970707,0.241961227299851,0.302294047356039,0.894862047585808,0.368716423504188,0.389281891762712,0.353962501409863,0.3401182160953,0.258901076326701,0.124525468572419,0.997011108060841,0.674630811092196,0.835609065321038,0.997247550709708,0.948722476362504,0.840484054648286,0.976462085782201,0.999422392379728,0.86556571027551,0.559376311206264
"C4B",0.0142017342651711,-0.797430451833042,-0.0385751275900666,-0.239999228071699,0.0959042964587159,0.0993144556868534,0.386521275998563,0.114205031662186,-0.158917338288415,-0.0425425463067697,-0.736159905406049,0.975744675360966,0.0111607885725273,0.899960339467079,0.444680216131634,0.768037339095386,0.807342156746637,0.320483909459826,0.779730062053185,0.718175183040653,0.903723910995503,0.0724421435604224,0.980944025318484,0.0223215771450545,0.927827963822161,0.727424862226893,0.826953189370839,0.846214186515919,0.517156011228377,0.986546483441693,0.962185300102453,0.962000353032971,0.410022532551991,0.180644073160797,-0.569558276212504,-0.119927993830624,0.0423598887378877,-0.358449532393077,0.00318019812036024,0.0227561762928535,-0.494051077764254,-0.135512887216023,0.0816361252179611,0.740212503850033,0.118793712491543,0.695144276979224,0.917192946641885,0.326395287983553,0.989908789883012,0.948379869509405,0.283896807792652,0.712656963949692,0.806319982694422,0.938825725477138,0.540034388787457,0.944505771782568,0.997247550709708,0.936677785878165,0.994983357745787,0.999874676446854,0.999422392379728,0.951009965507351,0.939247624853164
"TNFRSF18",-0.670163779724074,0.0449284895747843,0.448863639951271,0.0781185166568591,0.470761264303442,1.01110327240859,0.793689469502316,0.612240878608872,0.0399596173245113,-0.176171220356662,-0.445499511961723,0.153023188551215,0.847164449087549,0.0131369044684544,0.782348033922902,0.11739675024473,0.0219154022485084,0.0366690431269872,0.0466913245157941,0.889829542776192,0.513976407553587,0.106227684451398,0.232825604085989,0.870681411421917,0.0429796990124,0.920673612474901,0.204725974929938,0.0444592031277984,0.122844237759835,0.936246853326614,0.977729585019684,0.837523997656438,0.44986013903399,0.117236249281716,-0.174633010364824,-0.18817642862997,-0.066266031781812,-0.00449799335502873,-0.0540718691098842,-0.0823514483879639,-0.138297920645723,-0.354635639753862,-0.210109273948041,0.783917421482185,0.52429278274548,0.584779949494697,0.852730372038885,0.985188379809063,0.875328996652942,0.825108278271645,0.561545513987566,0.341169748256381,0.619079187985461,0.949179254211048,0.822685268612783,0.923090332345339,0.995145135204143,0.995321216373518,0.982413103954417,0.999874676446854,0.999422392379728,0.91223034798254,0.846373962318288
"KIR3DL1",-0.80070478559194,-0.931570136308613,-0.210432684744415,-0.163995487045216,-0.493681600111311,-0.937146849442462,-0.244119075980585,-0.377633591782449,0.0814632059237386,-0.246900842361596,-0.237848420681267,0.0420147496241676,0.0157778164696083,0.432502806402364,0.539942728278682,0.098413036708148,0.00550963015116033,0.557519733434328,0.41154765485553,0.790656260258981,0.40418082779052,0.300030999627881,0.0828583564016686,0.0298861936851195,0.542786227103632,0.804230484751932,0.184442976082158,0.0153510300520347,0.723619233506854,0.959451781224681,0.97024528758119,0.815509691155198,0.670990888614263,0.410803632305564,0.278542566947406,0.0192857699146124,0.117560278436929,0.252814831120105,0.299224885390089,-0.344600389232121,-0.23948100361122,0.0756806357837329,0.044544192071739,0.104267358047137,0.401686385779655,0.946309319000409,0.533748415071721,0.186163982404494,0.234761921559367,0.200996473223658,0.360537762923988,0.719235278791894,0.879903348862457,0.829332058865982,0.755330546017557,0.976668746343485,0.985597039484581,0.880215769603307,0.780638141015558,0.976462085782201,0.999422392379728,0.951009965507351,0.963409817419677
"ITGB1",0.330584258757837,0.228094719817843,0.729951020389211,0.167463013517752,0.350636362854879,0.426037720098446,0.519847574739511,-0.178364924383259,-0.149820742603427,-0.194671055665308,-0.175205296210193,0.0266623974496045,0.0639572987592216,0.000773103641195282,0.127793754427346,0.00116063666739046,0.00557290998781343,0.000858094678077471,0.152899806484719,0.149534523775148,0.192165650964362,0.10832862226673,0.0587195212314247,0.0962761465364878,0.00779125840280776,0.483027266125135,0.0110813841244107,0.0153510300520347,0.0168347984337241,0.936246853326614,0.716267006723894,0.596581934172022,0.44986013903399,-0.183400101904529,0.225240584545399,0.0997229324525757,0.0553667279753854,0.0273714773827602,0.0840278881813155,-0.0396056628994457,-0.121351608940523,-0.0585308194376412,-0.0414478669088549,0.359116167235149,0.184529669230996,0.376509622454433,0.674556265402064,0.829256703988849,0.221552188215617,0.787314467645899,0.123063765495759,0.711748657258263,0.7430565371853,0.851663772031153,0.603721345576554,0.850641391643154,0.985597039484581,0.980338618042941,0.774065052654563,0.996307044832474,0.999422392379728,0.951009965507351,0.91987076339606
"CTSG",1.26344136647133,2.03353237888613,1.73571832212026,0.763987761344538,0.958544171880218,1.68235056847511,1.56081179895143,-0.778722496854623,0.111520233390293,0.146986317141635,0.367702859427732,0.00473492971115351,9.61369662151916e-07,0.000370749763068515,0.133448762017066,0.0808205438155357,0.00063963865186463,0.00011926785521068,0.0619745287205755,0.783106758309084,0.601253880749144,0.352504914839037,0.0155812221890284,4.70893976088612e-05,0.00517894210838892,0.483027266125135,0.157197346390355,0.00349731819050806,0.0100586420952726,0.936246853326614,0.97024528758119,0.863459114329628,0.710027693234502,-0.206168588583042,-0.658143970015358,-0.180714307500657,0.421095411376309,0.577927288303934,0.27286932654156,-0.343529556670794,-0.0616969617482071,0.290207373796241,0.391236086739765,0.668608350387055,0.124285145462051,0.703071466648405,0.455792577941686,0.0924257058169464,0.462538721010787,0.463264495770593,0.898713599461082,0.58861300994442,0.478753742741947,0.917655151277008,0.540034388787457,0.944505771782568,0.985597039484581,0.871115186263522,0.851292660358782,0.976462085782201,0.999422392379728,0.942558784489295,0.781279044512883
"LTB",-0.834284764370582,-1.45491152476349,-1.01836208182936,-0.366852126771066,-0.810230662206142,-1.0767468959717,-0.600643426785035,0.177035771984455,0.0672510334974854,0.390540615083625,0.249235088612607,0.000470145196504007,1.64031681416219e-05,0.00234745187206424,0.159537860310559,0.00104625874667407,0.000725249707887782,0.0265540306983248,0.32614296421304,0.724188936119514,0.0989891344754121,0.384397492742244,0.003058645761164,0.000197536024854425,0.0152719282711306,0.493434037900418,0.0110813841244107,0.00380084569133782,0.102654522450431,0.959451781224681,0.962185300102453,0.559439044710147,0.731428992682901,0.220235461318142,-0.70617665198517,-0.355035830209909,-0.158845287848445,-0.144070838947009,-0.397062926243656,-0.156758573292644,0.0304715833776524,-0.0433705981143959,0.0775066117013032,0.465704853338343,0.00584384327008342,0.0926252036308981,0.515697677121024,0.477518676873608,0.0427195114801141,0.558125038736476,0.899924680735739,0.868028929502851,0.634155240357498,0.853038663396446,0.373245874658575,0.827091246397003,0.985597039484581,0.964187665358425,0.663003192584927,0.976462085782201,0.999422392379728,0.954291506392401,0.856655065974554
