"","C1D01 log2fc","C1D08 log2fc","C1D15 log2fc","C1D22 log2fc","C2D01 log2fc","C2D08 log2fc","C2D15 log2fc","C3D01 log2fc","C4D01 log2fc","FUW04 log2fc","FUW12 log2fc","C1D01 p.value","C1D08 p.value","C1D15 p.value","C1D22 p.value","C2D01 p.value","C2D08 p.value","C2D15 p.value","C3D01 p.value","C4D01 p.value","FUW04 p.value","FUW12 p.value","C1D01 BH.FDR","C1D08 BH.FDR","C1D15 BH.FDR","C1D22 BH.FDR","C2D01 BH.FDR","C2D08 BH.FDR","C2D15 BH.FDR","C3D01 BH.FDR","C4D01 BH.FDR","FUW04 BH.FDR","FUW12 BH.FDR"
"LTB",-0.834284764370582,-1.45491152476349,-1.01836208182936,-0.366852126771066,-0.810230662206142,-1.0767468959717,-0.600643426785035,0.177035771984455,0.0672510334974854,0.390540615083625,0.249235088612607,0.000470145196504007,1.64031681416219e-05,0.00234745187206424,0.159537860310559,0.00104625874667407,0.000725249707887782,0.0265540306983248,0.32614296421304,0.724188936119514,0.0989891344754121,0.384397492742244,0.003058645761164,0.000197536024854425,0.0152719282711306,0.493434037900418,0.0110813841244107,0.00380084569133782,0.102654522450431,0.959451781224681,0.962185300102453,0.559439044710147,0.731428992682901
"SPP1",1.06404608826642,1.90869597161357,1.92809356735047,0.628749093210242,1.2625878726981,2.27841077698488,1.4621488240253,0.594941056273202,0.426728234205861,-0.351930896190506,0.00583989059570169,0.0442623946820955,0.0108854005414904,0.00743837998595357,0.198639935051853,0.0188059326836351,0.0244148612214435,0.0144245503812813,0.111840657223328,0.384474276990597,0.124028628907354,0.994727304010791,0.0858308978661443,0.0219257534038562,0.030072307657498,0.538178890223402,0.0548667932934921,0.0479819842060313,0.0698427000970322,0.936246853326614,0.828422318751574,0.56138943621495,0.995265732081032
"LGALS3",1.09318928549746,1.2402646285144,1.16974102788598,0.463525827267796,0.822068961279631,0.918191033299126,0.982119961151906,-0.135251969195135,-0.0643315653002769,-0.407242545909918,-0.494184088142477,0.000186840348579359,0.000884252072488556,0.000708414390995246,0.0744121126505218,5.00582388726146e-05,0.0116474069697387,0.000881299614933723,0.609525506685618,0.826659092933652,0.22786408397591,0.107700509676562,0.00173363339829373,0.00322983553745722,0.00729022809642381,0.454292643224558,0.00374280157415218,0.0271293512134655,0.0168347984337241,0.961712447162925,0.97024528758119,0.626073162768763,0.44986013903399
"GZMB",-0.308739448315656,-0.196764866426344,0.392540880329287,0.0483181129937647,-0.441763770678958,-0.0144406788042797,0.738127027659907,-0.0230889029940609,0.0578301094435556,0.0638440398165665,-0.0398482636793467,0.050213682425889,0.380407974070079,0.0683113327456648,0.844874252583728,0.0386430656414655,0.952752292145858,0.0178638659331561,0.909538054998926,0.700690146000155,0.689705352070783,0.880515011753132,0.0950533252610474,0.445778288454793,0.139543036715705,0.955183385649074,0.0875873512166938,0.957829124963687,0.0789917821731748,0.994567917304908,0.962094539738596,0.880816962127318,0.962107136394349
"CARD11",-0.618415873743901,-0.909978330237789,-0.374531422740257,-0.172511758861842,-0.498683243649653,-0.511063027379197,-0.0441641701273183,0.287140167706907,0.0314800119741577,0.366414898819216,0.100872972042297,0.0037751226931218,3.64069523244329e-05,0.118150312477372,0.316515813876757,0.0118540379728966,0.00556325595411765,0.795203427039586,0.137003636986558,0.853023276028165,0.0912204926609812,0.69475144802816,0.0130163453720024,0.000367970268136232,0.206704840133984,0.639508575584162,0.0427721539331785,0.0153510300520347,0.877358946792213,0.936246853326614,0.97024528758119,0.548917828042525,0.879707650075926
"ATM",-0.367361429789742,-1.29066700839093,-0.159520668960335,-0.406198465125728,-0.281456829819516,-0.673515911370324,-0.007448572415396,-0.259700078878392,-0.15627228216449,0.385084779093972,0.182866281966938,0.285589744149134,0.000307852289269087,0.613312639498998,0.236647419853609,0.115566985157507,0.0294489305143548,0.975335422340899,0.42089654710105,0.592236158423942,0.138270410652046,0.342070992462962,0.382136631651088,0.00147664742140935,0.700346034219078,0.575733059322424,0.20313948322717,0.0550102134360556,0.985785444723123,0.959451781224681,0.908416438124529,0.563029154165884,0.710027693234502
"ELK1",0.41755370559421,0.527817992081718,0.57726248029404,0.131077762169428,0.439264471447402,0.470792199530134,0.183898652082974,-0.130482636225117,-0.0101142448778507,-0.00894324386383059,-0.185827445443645,0.000433960914402897,0.00286350105618383,0.00356111907326173,0.33273507003819,0.000362330247452131,0.0115776487282856,0.259750424853181,0.368633656172323,0.932816455084628,0.959174604048769,0.285433464823246,0.00292406997085762,0.00760911548262932,0.019568867917147,0.653916839033387,0.00621451272902746,0.0270783023975605,0.445299202294687,0.959451781224681,0.985026331302051,0.98080460336908,0.66772720735722
"RORA",-0.989777472212652,-1.34569520950206,-0.831586003248553,-0.168947826806712,-0.820620109680208,-1.25919957194599,-0.410664524922504,0.0141572689490594,0.0228265968724709,0.0280185257204433,-0.177462494231452,5.7495256185024e-05,1.00405798716785e-05,0.00151870815662656,0.112631849135395,0.0010313500250595,3.23702879478558e-05,0.000756603170460375,0.867895061901517,0.749505531353581,0.758772594799148,0.182495819548836,0.000813557875018089,0.0001578602279825,0.0121068847415582,0.483027266125135,0.0110813841244107,0.000555199484196557,0.0160724261463889,0.994567917304908,0.968736319081343,0.897161851369975,0.555088178768162
"IRAK4",0.0641657667891648,-0.128394104923261,-0.234501967293971,0.055537464147093,-0.0754419831928259,-0.0392990741173795,-0.0314544848135656,0.103952932547526,0.0539343229683369,0.00216360577315063,0.171532080917197,0.64268309843563,0.542937623885417,0.570274611275495,0.749734209615989,0.665008948414651,0.82893892121601,0.881993177798146,0.666971221270567,0.690818604231613,0.991447099487824,0.421130495427032,0.719789823569832,0.604926565195169,0.671050789983223,0.904410592392262,0.746815604767247,0.865407364981279,0.92789616846422,0.961712447162925,0.957201137957091,0.993201873115236,0.75921911288301
"CXCL16",0.952336335300494,1.49843198720062,1.0627999009004,0.483398561681684,1.15079867156315,1.46052854185715,0.98753531368944,0.038469958410473,-0.282632314894972,-0.407870512909957,-0.614001925312832,0.00161656541525732,0.000250569763008026,0.000308998828065922,0.0782582166782341,0.000140891109113488,5.30681940981084e-05,0.00409080792908088,0.859900384706898,0.156032344385079,0.207648568169771,0.0175948220274023,0.00705767469561006,0.0013406966164136,0.00514392166721505,0.4662542172619,0.00398721838791171,0.000770169175885369,0.0374214252638009,0.994567917304908,0.718002495300443,0.612130674917137,0.236706050780954
"SPN",-0.156220213644194,-0.449735653382887,0.0940379875891711,-0.107139985003952,0.00891957802189269,0.114510619133116,0.230857668961403,0.122989018096325,-0.056070957588644,0.359565537705444,-0.175783718068047,0.460189225888162,0.0526649954317545,0.71393243695386,0.61698720267671,0.971563654409427,0.716370775092615,0.421438455509214,0.761910773986138,0.869828487201524,0.30193925884313,0.676923428146193,0.556553636437393,0.0810010527564485,0.784632542360941,0.868693424664224,0.980222867015572,0.766269884121818,0.599332074920139,0.986546483441693,0.97455468302151,0.719343551740645,0.86975625303451
"CXCR4",-0.273907725237804,-0.392795244360271,0.00588518518099851,-0.00952906689749708,-0.202885732115453,-0.513835130283649,-0.114554320529939,-0.0284988140833478,0.127049374479523,0.0268644690701905,0.0277590615475852,0.0400245434563655,0.00966069508988588,0.972500228522594,0.938043159880894,0.100338722905887,0.00211950736052958,0.0623164529829083,0.847646599096543,0.285349349707786,0.790653809203926,0.826902449475901,0.0800313082097703,0.019956034382757,0.975948810893242,0.977776111404394,0.185418575884631,0.007651213407589,0.1754781710862,0.994567917304908,0.798335783654638,0.912315510268512,0.934185202401916
"PRF1",-0.583639185874662,-0.754682817006579,-0.401558900707424,-0.0753800519309021,-0.631994710561554,-0.417370190603623,0.256199966224484,0.167232356498669,0.00312045101345011,0.0581574712646404,-0.176393839359856,0.00111066623036362,0.002504129856134,0.0519139621725232,0.701844770696007,0.00436341654547338,0.0281772658063385,0.228186508276165,0.247843972143069,0.981204247272675,0.762669431314062,0.421601104010445,0.00533416464719972,0.00699973891704226,0.113012702267877,0.897060282215219,0.0235208929975041,0.0530939217664074,0.399856234316748,0.959451781224681,0.989656795300114,0.897444694643989,0.75921911288301
"JAK1",-0.362582984218254,-0.480716912551894,-0.243512204305408,-0.0739827048646359,-0.310033740579539,-0.440108613485495,-0.105645067849045,-0.0131484573864025,0.0250226341422739,0.0713899761273169,0.0245283889136558,0.000110779377752707,6.3926363543273e-05,0.000112439941397433,0.438249930756805,0.00553487249459523,0.00430066658167836,0.297544817009665,0.893771560043924,0.587229837669752,0.355854430920254,0.819275598970784,0.00122943387858887,0.00052438147486221,0.00312299411549887,0.727417773631529,0.0272411985386165,0.012678006693906,0.49017726276088,0.994567917304908,0.905646016678691,0.760051350569297,0.929278535105137
"DDX58",0.220215869095334,-0.0557978504066725,0.0716730488060763,0.24708201409668,-0.121072416286575,0.0444336820905908,0.891108328876148,0.57328807974434,0.361190389350165,0.490902512101178,0.370493723738116,0.407766223939002,0.773693779657555,0.832024999249482,0.46323301050615,0.702930143000633,0.888181670891,0.184254965960348,0.115260627744823,0.360016654158967,0.0148726266130023,0.258154220742937,0.510609917587334,0.806465339385223,0.872085462176309,0.736946520430373,0.77858798618074,0.912360845234675,0.346472793134741,0.936246853326614,0.81858849729906,0.420895333147964,0.639993945542689
"C1QA",-0.192563074664912,-0.0349608649597146,0.0886140457459428,-0.352577085536985,-0.245302168236407,-0.57553166761355,0.137765980108958,-0.721560737153474,0.289407077104692,0.227939231817928,-0.588528332005409,0.573731160200899,0.9294865321118,0.767520201331564,0.337475636228607,0.559554903583287,0.189703747346199,0.684691790519047,0.0888998065062322,0.357306683061252,0.427302800609353,0.0161089011610429,0.65868526708663,0.936102094617934,0.824319609020237,0.656395911015091,0.661185961227851,0.259353432362195,0.810743835635525,0.936246853326614,0.81858849729906,0.828834241931346,0.236706050780954
"TNFSF10",0.223086941988189,0.197365202849986,0.0568708244797698,0.763183118107643,0.090143245749401,0.536477757566151,1.31444617762029,0.573182571954981,0.575944487289331,0.714097231712793,-0.00228200256998799,0.515552351541768,0.438074041531208,0.849323294049858,0.092342541961755,0.616168621723154,0.0250677985630359,0.0832102432617021,0.0968355978922483,0.198504808459015,0.0215512860876551,0.993625449454181,0.606658276450397,0.507055025576,0.886931705594502,0.482883270041671,0.708844390031109,0.0487572989232932,0.210341718728705,0.936246853326614,0.760345318906922,0.480031639439955,0.995265732081032
"TLR6",0.85878483311087,0.899379097559304,0.571937920975303,0.110699296260954,0.44977513551621,0.636753179543833,0.168856414182435,-0.00482320539654193,-0.165848895319437,-0.214453145835023,0.126639337948109,0.00163130245197099,0.000692118436928425,0.0283488616694853,0.442246421344462,0.0107733585538134,0.00454176272131307,0.510365795553673,0.978595530607605,0.300593741918667,0.482284532191961,0.42843167325421,0.00705767469561006,0.00273943381329712,0.0716314986827174,0.727424862226893,0.0406514729430559,0.0131827574372472,0.686082461769536,0.999023509729966,0.800868005171027,0.833116287096921,0.762554487615983
"CLEC5A",0.900878195930315,0.846576522218084,1.4624779599807,0.768065916590878,0.644907841673509,0.683521054627151,1.45005022366386,0.36134746493437,0.0686685945740735,-0.801669126353705,-0.337040924304807,0.0381145801775372,0.158284062554824,0.00213403319403069,0.0869326597252757,0.152098374054677,0.353782698597494,0.0125002077361944,0.501906439535879,0.869568820671327,0.0503234658729557,0.441424219925752,0.0778803335035597,0.207381433810256,0.0143793189026354,0.482883270041671,0.250254882892289,0.426044696608897,0.0649093355842754,0.961712447162925,0.97455468302151,0.495891052988922,0.770375515725523
"S100B",-0.069071975762218,0.238099550737446,0.383878255578159,-0.17500956249591,0.315417568769439,0.518796044654487,0.56963352835048,0.53956130574736,0.0614403648689944,0.69740124414947,0.833274793605743,0.851346465405347,0.467241683533671,0.362736331776879,0.7619027856359,0.411653367074873,0.236385853302437,0.211908824952576,0.105700673118166,0.833952333430889,0.0467751693441821,0.0228104126084673,0.877708742111888,0.53426018763648,0.473061667709018,0.906399793699382,0.524765328298149,0.31042782591457,0.37819911684824,0.936246853326614,0.97024528758119,0.495891052988922,0.253150853654754
"TLR10",0.220108760804671,0.29163519633721,-0.0367756849205551,-0.162665497085038,0.503165091415452,0.0319882530398212,0.22543260504758,0.206989406247873,-0.0997581292781306,0.450778648067473,0.0157905294827989,0.381940895164233,0.23555503066438,0.86495408442624,0.71346834974532,0.0781144045339455,0.898072160672911,0.552065316655278,0.637293884737393,0.787993251169484,0.104396671725328,0.965456826944488,0.485794486883047,0.29339252838787,0.898282590431654,0.897060282215219,0.153516503354907,0.917524987257884,0.71997458347209,0.961712447162925,0.97024528758119,0.559439044710147,0.988257830445296
"OAS3",1.23041652273374,1.14068939418236,1.26008444942268,0.680259521497102,1.00134720152886,1.65573670496556,1.89570595943493,0.767615516045107,0.749830061515788,1.26381308428284,0.769020927348559,0.00640484813096056,0.00213106726196309,0.0206504879759696,0.182790225907471,0.0259744132377941,0.00462926991352967,0.0317498281610832,0.156503298665443,0.132510921742947,0.0118886918642659,0.0531098304101998,0.0197018697941504,0.00612276177802593,0.0581501303203921,0.524898639395776,0.067438155470603,0.0133681978115193,0.11261930598229,0.936246853326614,0.71429696863341,0.395823505598501,0.348468776910732
"F13A1",0.108837214207981,-0.524291693017689,0.724949442494926,0.737907740254706,-0.362078336891386,-1.01684864881849,0.688848815055676,-0.450681648379387,-0.02940893913425,-0.512749093811521,-0.432800050311611,0.659371150243031,0.071884960408789,0.0213588623983468,0.0513908668447274,0.195906689348077,0.013566162650023,0.00691004759846686,0.346589474973681,0.909699923443955,0.0318510798919225,0.330110418335713,0.731772688308932,0.106232082484007,0.0590782819888042,0.413605886665371,0.302959525057409,0.0312191788209488,0.0480102341026396,0.959451781224681,0.983499591544167,0.480031639439955,0.698331603793456
"CD22",0.0207654961433603,-0.421873125644139,0.240327215208217,-0.386383692052368,-0.0853598905440884,-0.412301831488327,-0.126148641612387,0.0596407684650679,0.726817002644484,0.748373968182579,0.854630823962131,0.941190965145931,0.0188990446871128,0.390058586407898,0.195863767067395,0.764668274012039,0.257620638860586,0.681577979298646,0.81766771642002,0.00340451954631404,0.0100559626367456,0.0187013061439958,0.954684742424008,0.0345059977190512,0.500619410219661,0.538178890223402,0.82660343781575,0.328492425806476,0.810743835635525,0.994567917304908,0.411617486296584,0.388159465452407,0.236706050780954
"SMPD3",0.835300800525333,1.56438263073611,1.63869643418745,0.588370163883279,0.781705878798173,1.62377585991522,1.99130185961958,0.232956118876254,0.0559801100200718,0.0803086765214932,0.56933934260729,0.0330450583826516,0.0014864011129006,0.00324400837425468,0.247167534784154,0.092586061019066,0.00112529983700481,0.000585817401994455,0.637790830365447,0.908914483952201,0.779507340211244,0.168778761938326,0.0687628788403706,0.00460583975061657,0.018546552927557,0.583060553422409,0.175263245942446,0.00522065334216984,0.0149358223630884,0.961712447162925,0.983499591544167,0.907821305678116,0.546591743697605
