"","Module","Symbol","X0rder","Function","Module_gene"
"86","M4.2","CR1",1308,"M4.2.Inflammation","M4.2_CR1"
"87","M4.2","IL18R1",1310,"M4.2.Inflammation","M4.2_IL18R1"
"88","M4.2","OSM",1312,"M4.2.Inflammation","M4.2_OSM"
"89","M4.2","S100A12",1320,"M4.2.Inflammation","M4.2_S100A12"
"90","M4.2","IL1R2",1322,"M4.2.Inflammation","M4.2_IL1R2"
"91","M4.2","IL18RAP",1323,"M4.2.Inflammation","M4.2_IL18RAP"
"92","M4.2","MAPK14",1328,"M4.2.Inflammation","M4.2_MAPK14"
"93","M4.4","ECSIT",1434,"M4.4","M4.4_ECSIT"
"94","M4.4","ICAM4",1464,"M4.4","M4.4_ICAM4"
"95","M4.5","CD164",1574,"M4.5.Protein Synthesis","M4.5_CD164"
"96","M4.6","IFITM2",1580,"M4.6.Inflammation","M4.6_IFITM2"
"97","M4.6","STAT3",1582,"M4.6.Inflammation","M4.6_STAT3"
"98","M4.6","PRKCD",1585,"M4.6.Inflammation","M4.6_PRKCD"
"99","M4.6","MYD88",1600,"M4.6.Inflammation","M4.6_MYD88"
"100","M4.6","MAPK3",1604,"M4.6.Inflammation","M4.6_MAPK3"
"101","M4.6","LAMP2",1618,"M4.6.Inflammation","M4.6_LAMP2"
"102","M4.6","SELL",1621,"M4.6.Inflammation","M4.6_SELL"
"103","M4.6","CD97",1624,"M4.6.Inflammation","M4.6_CD97"
"104","M4.6","STAT5B",1629,"M4.6.Inflammation","M4.6_STAT5B"
"105","M4.6","ENTPD1",1633,"M4.6.Inflammation","M4.6_ENTPD1"
"106","M4.6","IFNGR1",1635,"M4.6.Inflammation","M4.6_IFNGR1"
"107","M4.6","ATG7",1640,"M4.6.Inflammation","M4.6_ATG7"
"108","M4.6","CKLF",1646,"M4.6.Inflammation","M4.6_CKLF"
"109","M4.6","SBNO2",1648,"M4.6.Inflammation","M4.6_SBNO2"
"110","M4.6","FCGR2A",1653,"M4.6.Inflammation","M4.6_FCGR2A"
