"","log2 fold-change from baseline","p-value","False Discovery Rate"
"SMAD3",0.654456302228434,0.000534254613260449,0.251633922845671
"HLA-DQA1",0.833436020564757,0.207479581973417,1
"IFITM2",0.177729525280395,0.341918305551044,1
"NCAM1",-0.434452883224881,0.132304543701587,1
"EGR2",1.05918811498865,0.00171774929581685,0.726792186486155
"IFIH1",0.414374835453905,0.00573658910436084,1
"JAK3",-0.620454829657465,0.000454986223081855,0.218393387079291
"CD70",0.730658326793934,0.0360506786582398,1
"TNFSF14",-0.665918087397407,0.0976076432967556,1
"ENG",0.829913947965149,0.0604095935181774,1
"CD3D",-1.51185997419442,0.00182950433788409,0.767036858778265
"ALCAM",2.4111032955879,6.17679929818709e-06,0.00342194681119565
"CD1C",3.11735076760148,0.000122506205891924,0.0626006712107729
"MAPK1",-0.264344392450217,0.159664736083378,1
"ATF2",-0.139691875746888,0.376397364533576,1
"ARG1",1.5509691768866,0.0243850890104863,1
"CD247",-1.25382259933064,0.000150462029707841,0.0759833250024598
"TRAF3",0.105628876841196,0.498045349000987,1
"ABCB1",-1.31217850017724,0.000459482069014375,0.219632428988871
"BCL10",0.301471660923829,0.00371938991024387,1
"TANK",0.675536713136694,0.00214318265947476,0.876561707725176
"NOTCH1",-0.675990992649467,0.000488768631014511,0.232165099731893
"THBD",0.967456725426601,0.000109697402662596,0.056274767565912
"UBC",0.488904486589646,0.0270898689558899,1
"IL6R",0.60675465180759,0.00206102229973197,0.8542222303316
"MAVS",-0.149744934257655,0.656971034880282,1
"LIF",-0.537272970056556,0.253026974674303,1
"BST1",0.5688378358421,0.131415227324739,1
"PRKCE",-0.186392891344938,0.484823714546697,1
"MICB",-0.415761148535567,0.0797724675999889,1
"IL22RA1",0.0793149472497777,0.895005890913997,1
"KLRB1",-1.12338309169324,0.00029848613170431,0.145959718403408
"NFATC2",-0.963875509005717,3.89736220570964e-05,0.0206949933123182
"CD200",-0.753686005442075,0.00217715998637134,0.887127315358541
"LAMP2",0.708936129409793,1.76213868551975e-05,0.00953317028866187
"CD55",-0.573661251747315,0.172032648850754,1
"ITGAM",0.397203802498356,0.0422745019521224,1
"TNFRSF17",-0.619109665081651,0.17027987480662,1
"TREM1",0.386961412374053,0.0111939791610345,1
"MUC1",0.336686869847897,0.270704901483245,1
"CLEC7A",0.903137263078667,0.000292117849439625,0.143154755317515
"FUT5",-0.781058333190638,0.014008304639631,1
"SLC11A1",0.48496513578166,0.0227066466990042,1
"IRAK1",0.474641901859394,0.00182627823518635,0.767036858778265
"IL10",-0.548591616961232,0.154268260678294,1
"IFNAR1",-0.144745309054538,0.56644422014237,1
"STAT6",0.559917076597089,0.00899370122731167,1
"CCL8",1.00717910323323,0.00515099511949014,1
"IRF3",-0.586569083913245,0.0360168599924334,1
"IL1RL1",-0.504703354392668,0.102603622925503,1
"CCL3",0.967407032677117,0.0239217712802091,1
"THY1",-0.598866572001391,0.340888643494371,1
"ATG5",-0.385526246621207,0.173833146826686,1
"CCL7",0.612561752690568,0.347162976200026,1
"HLA-E",0.237544992457398,0.0103880267783234,1
"ABL1",-0.0964612046579896,0.483197986782389,1
"NUP107",-0.390985598609746,0.0188017482351334,1
"PLA2G6",-0.503589128073667,0.0015775349733425,0.678340038537274
"DOCK9",-1.73237173315209,0.000214554526880764,0.10663359985974
"TIGIT",-0.792994248294084,0.0206030126250564,1
"TCF7",-1.14037910339743,0.00158102466218499,0.678340038537274
"CXCL11",0.055874317541852,0.884876721344,1
"LCN2",1.88665094463747,6.42260984212625e-06,0.00355170324269581
"BLK",-1.04687554204327,0.00207577720540493,0.857295985832237
"CCL5",-0.948749314383498,0.000922460914863409,0.415107411688534
"NCR1",-0.70886800700348,0.000157777059716768,0.0792040839778173
"FCGR2B",1.60219951821644,0.00252578108477455,1
"IL17RA",0.447769939869623,0.00303763054007489,1
"DUSP6",1.53678842245718,0.00267579033122861,1
"CD79A",-1.44495043157749,0.00063265746538898,0.294185721405876
"CCRL2",1.03913219241685,0.00161684238452658,0.692008540577376
"CREBBP",-0.562140979032592,0.0463181010379841,1
"CTSH",1.39270928164606,0.00678480874608688,1
"ITGAL",-0.328299519385885,0.176652697619656,1
"FCER2",-0.390817317106454,0.247630577980731,1
"NFATC4",-0.46804053231913,0.319584182756881,1
"AMICA1",1.03498710423399,0.00192952591717008,0.804612307459923
"PSMB7",0.202267854206483,0.108128331256516,1
"REL",1.11603653111073,6.06487502259324e-05,0.0317192963681627
"TNFSF4",0.0827474151103001,0.705695368395675,1
"CD40LG",-1.28489744074879,0.000733801677129661,0.336081168125385
"HLA-DRB3",2.42327515309557,2.16043824500684e-05,0.0116231577581368
"IL12RB1",-0.211672082708056,0.37345687752515,1
"CREB5",0.394504588308363,0.243241860888628,1
"CD276",-0.0659897111056819,0.89441451524338,1
"MAPK8",0.0818623426914518,0.716318939670662,1
"ITGA5",0.0679731132915236,0.602215585672806,1
"MAP4K2",-0.365413029406143,0.0187859717684622,1
"TXNIP",-0.399942896481155,0.169790090383914,1
"CREB1",-0.301057686791859,0.0479800868463104,1
"MAP3K1",0.271990086672043,0.202133102767752,1
"IL18",1.63217771813373,0.000143771731217054,0.0730360394582635
"CX3CR1",-0.423342508820383,0.0143240461367008,1
"PVR",0.230072116078259,0.434157604866531,1
"MAPK14",0.0759746498926017,0.623343410642207,1
"CYFIP2",-0.478756774709684,0.166157639305058,1
"IL13",-1.02724098237019,0.0141379523253391,1
"FCGR2A",1.1106464422854,2.03981092348008e-06,0.00114433392807233
"NFATC3",-0.506411814148868,0.0163101444430628,1
"DMBT1",-1.33292306299019,0.0167097333083676,1
"BCL2",-0.0996880818670868,0.678601174117446,1
"IFNG",-0.77064045078466,0.0182325757417174,1
"KLRD1",-0.686473114298909,0.0629794455518253,1
"TBX21",-0.896689728124305,0.00174719928973121,0.737318100266569
"CD4",0.88795821674146,0.00488851635357219,1
"TNFRSF10B",0.815942061637675,0.00040328438457219,0.19518964213294
"PAX5",-0.934463660139285,0.0242733298400169,1
"TAPBP",0.512900981941349,0.0447210034814154,1
"CXCL1",1.2093634329572,0.0201558853798966,1
"C2",-0.501616566063871,0.251262633602825,1
"FYN",-0.638360179758747,0.00589493856048712,1
"BIRC5",-0.552347158786967,0.00999256021608373,1
"ADA",-0.574151188526548,0.0141071089024485,1
"CD7",-0.933870936150417,8.45844090764288e-05,0.0437301394925137
"NFATC1",-0.267711035662496,0.122692499474273,1
"CCL22",1.9320508224479,0.0356970048193297,1
"TP53",-0.706292447443485,0.010447011447092,1
"FEZ1",-0.468053909451628,0.101806439430814,1
"POU2F2",0.46503508382286,0.0813242395056908,1
"PSMB9",0.17657055142934,0.380815496770482,1
"TARP",-0.889887603494628,0.0176098327201314,1
"PNMA1",-0.247980975732525,0.230774834576142,1
"BTK",0.516670286501392,0.0881591602068823,1
"ICAM2",-0.255893997235663,0.271124539489194,1
"CD99",0.369084714567239,0.0505516958354715,1
"MR1",-0.402142115679981,0.272559551581543,1
"HLA-G",-0.165901202420422,0.639408384061882,1
"TNFRSF1B",0.649702535627334,0.00212009511192877,0.873237032538187
"HLA-DRB4",0.714804251234712,0.311225777311248,1
"OSM",-0.500098169625787,0.113416656463281,1
"ARG2",-0.487223586772934,0.115342469253375,1
"MERTK",-0.391234112000702,0.268213324986125,1
"MX1",1.23479206153372,9.88745050606954e-05,0.0510192446113188
"CD68",1.02215255744894,0.0007944417756278,0.363059891461905
"TNFRSF12A",-0.168896260277272,0.257686637911794,1
"HAVCR2",1.33239786047344,0.00217433165529054,0.887127315358541
"IFNAR2",0.823505230589329,0.00120877655781759,0.53187523890846
"ECSIT",-0.423932542536546,0.0164749932266308,1
"MAF",-0.972572140338618,0.00312751583899801,1
"CHIT1",0.1447624194442,0.777259058209869,1
"BST2",0.771204589636967,0.00708052513533614,1
"BATF",-0.298711084348801,0.383568183671668,1
"LILRA1",0.0261523183479162,0.911192571335828,1
"AKT3",-0.864496847010483,3.33548120018402e-05,0.0177781147969808
"LCK",-1.3294473594061,0.000290964949832348,0.143154755317515
"LCP1",0.672963663047847,0.00800969371372011,1
"ATF1",-0.114746602684876,0.659683260786024,1
"IGF1R",-1.14942957189585,0.000642616769987348,0.297531564504142
"MAPKAPK2",0.313865724582059,0.000972860846034931,0.434868798177614
"CCR6",-1.34928770598873,0.000627411165617446,0.293628425508965
"CD5",-0.789341991042375,0.0346012449865222,1
"IRF4",1.45890230322785,5.78605778849843e-05,0.0304346639675018
"JAK2",0.963826851367699,0.000154193630756293,0.0777135899011715
"LTBR",1.21690162223821,4.33873983363907e-05,0.0229519337199507
"TFE3",0.567691874209081,0.0221509539977011,1
"CEACAM8",1.31170135153171,0.0175632167726149,1
"CD79B",-0.59983159493318,0.059611806473383,1
"TPTE",-1.2580559171264,0.0184091974276754,1
"IL26",-0.956960272227239,0.0512242846469663,1
"IL23A",-0.362924740409731,0.299659490976445,1
"CD97",0.228240228578233,0.383513839548972,1
"ZAP70",-1.27384081121824,2.54534997180456e-06,0.00142285063423875
"HLA-B",0.342888726521999,0.0517924228658647,1
"CTSL",1.37387521592212,0.0642372076992688,1
"MARCO",0.876285002130527,0.00376204546972632,1
"PDGFRB",-0.308048098284231,0.291575413536471,1
"CD19",-0.731897620361372,0.0840103187401887,1
"IFIT1",1.3302711780346,0.0118385554472794,1
"TNFSF13",0.784368527785496,0.122594136427458,1
"IL12A",-0.60675209029179,0.250139977201803,1
"ISG15",1.5336123273383,0.00220956125459864,0.897081869367047
"FCGR3A",-0.370318680239813,0.409843439502953,1
"TRAF2",-0.371994746837116,0.0491158914008009,1
"TLR3",1.43886131167739,0.00414714091603619,1
"CFP",1.38642946805963,0.000506049827775045,0.239867618365371
"ITGAE",0.238828525371116,0.333575049375497,1
"RUNX1",0.614331140905314,0.000990228095062705,0.441641730397966
"MME",-0.94056155211425,0.05365571715597,1
"CDKN1A",0.504690378381043,0.0827871472895204,1
"CD8A",-1.53485571719679,0.000105396344929324,0.0541737212936726
"RUNX3",-0.573698041440766,0.00304239905297286,1
"CD38",0.0647606863170372,0.792093240599627,1
"APP",0.936964132173915,0.0027956635393624,1
"CCL24",1.62024217472277,0.140229144660513,1
"FN1",1.96476782758568,0.0181269592647183,1
"NOD1",-0.530690443795812,0.00936550278571255,1
"NLRC5",-0.464283760546394,1.99841484023031e-05,0.0107714559888414
"ISG20",-0.460318525944619,0.0398730335728029,1
"IKBKB",-0.0356123762579559,0.830240634602182,1
"LILRB2",1.11736093754078,7.2043389563797e-05,0.0375346059627382
"SOCS1",-1.39597527050478,0.0050528475077359,1
"FUT7",0.220732950286007,0.15101218369079,1
"TLR5",0.0436254715419138,0.880150244087416,1
"KIR_Inhibiting_Subgroup_2",-0.384447128725614,0.212762994667435,1
"XCR1",-0.626478774923103,0.110470264443205,1
"EOMES",-0.610213255878801,0.015511928981613,1
"MAP2K4",-0.239802171147311,0.482249679875228,1
"LTF",2.18209634430301,0.000841800736803829,0.380493933035331
"ANP32B",0.031174608468553,0.866280074631015,1
"IL2RB",-0.607799502610524,0.0275177539639807,1
"PYCARD",0.79661817379445,0.0255266285783241,1
"CD37",0.174551164860369,0.252847807948732,1
"LAMP1",0.179686448400164,0.437351838812748,1
"KLRF1",-0.807734575581996,0.00354260010630849,1
"CD59",-0.112745872154892,0.291085038973754,1
"CXCR1",-0.412627875817711,0.12674317669405,1
"TBK1",0.638256796144161,7.4424939288115e-07,0.00042050090697785
"BMI1",-0.178647694572511,0.100013232982978,1
"TXK",-1.12608195048262,0.00571530430975224,1
"SERPINB2",1.04851280767142,0.223721893245824,1
"PPBP",-1.82331305744702,0.00119519692972509,0.529472239868215
"BAX",0.337462164250661,0.022741999815137,1
"STAT4",-0.848902075373064,0.00163239122854364,0.695398663359592
"CD28",-1.14586842963775,0.00132711928347167,0.579951126877119
"TYK2",0.471285974914544,0.00704306851635959,1
"LILRB3",0.951729765198534,0.000478667931036024,0.228324603104183
"CXCL10",1.0939481818445,0.0478862928942404,1
"CCR1",1.14896729080233,0.000958601034590749,0.429453263496656
"ITGA6",-1.28415945139568,0.000807296011390039,0.367319685182468
"MEFV",0.517364786976959,0.138619570122899,1
"MSR1",-0.183001324886004,0.707858350157107,1
"ITGB3",-1.59151124565722,0.00287490590203972,1
"RIPK2",1.60248127976576,3.11096614918401e-06,0.0017338376771796
"GZMM",-1.14247819009027,0.000202060342323346,0.101030171161673
"RELA",0.258274721923698,0.195197348766906,1
"S100A8",0.679118112907313,0.0435502764828591,1
"CSF1R",1.13697752479082,0.0751511830956311,1
"CHUK",0.0930930113680051,0.508962210121248,1
"LY86",1.78139499646758,0.000156753645893908,0.0788470838846355
"MYD88",1.10666160982811,1.97999274747114e-05,0.0106919608363442
"IFNL1",-0.409559522351782,0.0697269453111893,1
"LYN",0.830803742218746,1.40996933684041e-06,0.000792402767304313
"CXCL3",2.28342384289639,0.00152342775309678,0.65812078933781
"EWSR1",0.401747970920889,0.00128912601970351,0.565926322649839
"CSF1",-0.187251399032458,0.51650078344382,1
"NFKB2",0.357251581386081,0.149563621484483,1
"SMAD2",-0.64276548351227,0.0720345565254003,1
"IL11RA",-1.06579956457149,0.00010358130653285,0.0533443728644175
"GNLY",-0.602081138856921,0.0187259021152956,1
"F2RL1",-0.82202262592029,0.000203723126392934,0.101657840070074
"CEACAM6",0.811350345522408,0.112304171773836,1
"ENTPD1",1.46597102566926,7.6137588784852e-05,0.039591546168123
"IFITM1",-0.530687287509792,0.2387048144457,1
"BCL2L1",0.609076195176067,0.0434947142461295,1
"RPS6",-0.151265324639255,0.539575962624465,1
"IDO1",1.77980670033605,0.00391632088840345,1
"TNFSF8",0.181441520604699,0.227882579117982,1
"IL1RAPL2",-1.29263353540294,0.0103088547971405,1
"SH2D1B",-1.38077148746376,0.00156565402340734,0.674796884088566
"IFIT2",0.271842265743949,0.592719189468399,1
"ICAM1",1.18346712695391,0.000510451070447674,0.24144335632175
"ITCH",0.0976727306796873,0.169339614375548,1
"CXCL2",1.78897699840804,0.000213460887534385,0.106303521992124
"CXCL5",0.0792314304993384,0.92534410448982,1
"CXCR6",-0.9724268483997,0.0108015812763609,1
"NLRP3",1.59599273055141,1.31727255062706e-05,0.00720548085193004
"NCF4",0.318397362978152,0.384137854626355,1
"CD8B",-1.4386744121929,2.52067559914846e-05,0.0135108212114358
"C1QBP",0.169951867345913,0.470408898880287,1
