"","log2 fold-change from baseline","p-value","False Discovery Rate"
"IL1RL1",-0.963181024267874,0.00790816678542245,0.0169546303051103
"CCL3",0.439786707923531,0.211775558147892,0.268154286155944
"THY1",0.0385027511118682,0.921476820963782,0.929689626854725
"ATG5",0.0690899750188191,0.685818682613578,0.729649199923469
"CCL7",0.922264263164877,0.218156052005632,0.275616797846401
"HLA-E",0.0955615220213266,0.303106178334002,0.366577130207361
"ABL1",0.0715893198862481,0.584185448079019,0.643285921425534
"NUP107",-0.313232071024599,0.00341587569156036,0.00870894433073497
"PLA2G6",-0.762706530031623,0.000218640774261793,0.00120146289545801
"DOCK9",-1.52254206746091,0.000267997310477127,0.00137781146359469
"TIGIT",-1.06452031008685,0.00228517494586555,0.0064670450967995
"TCF7",-1.30113452254275,0.000828049584582949,0.00310381499916523
"CXCL11",-0.663717542592266,0.0797179509001189,0.115397340689175
"LCN2",1.95499272524189,0.000166662839682957,0.0010273532211094
"BLK",-0.94660084680701,0.00476804437659873,0.0111058152969337
"CCL5",-1.16484233230205,5.02321284276334e-05,0.000441124763787965
"NCR1",-1.16875934492192,5.53935267823414e-06,9.50082913903189e-05
"FCGR2B",1.27307789663417,0.00365750931621443,0.00915995696007686
"IL17RA",0.394971870488376,0.00940362989707149,0.0195678475064061
"DUSP6",1.3994522054297,0.00628444375179452,0.0139444490479849
"CD79A",-1.27214203733199,0.00310848890562339,0.00810785585522045
"CCRL2",0.887353599001421,0.0253179372790115,0.0440680478781232
"CREBBP",-0.58089236915271,0.0475371452855926,0.0743260337890757
"CTSH",1.66936662672387,0.000182418938573959,0.00107551165867563
"ITGAL",-0.580088637649501,0.000847556960308131,0.00315603447062107
"FCER2",-0.386539241754342,0.110041722523634,0.153030994959157
"NFATC4",-0.582236389139829,0.264642601614302,0.32421582795172
"AMICA1",0.935253703216414,5.25315918176542e-06,9.50082913903189e-05
"PSMB7",0.336029477086475,0.0163362530711435,0.0306169511200902
"REL",0.800371147094913,1.35776958851092e-05,0.000167064692847213
"TNFSF4",-0.14986918608673,0.64317988465646,0.693409170886774
"CD40LG",-1.0755612113074,0.00133449006316497,0.00435622052556895
"HLA-DRB3",1.85871809506281,7.4280716154183e-06,0.000120122529552193
"IL12RB1",-0.391332373174615,0.0439959717831573,0.0698874767597357
"CREB5",0.827369622174731,0.00891471955702972,0.0186878935899215
"CD276",0.184873829777265,0.600373791001718,0.659828282926159
"MAPK8",0.283461782294513,0.134861248623548,0.181309897199355
"ITGA5",0.402165939049291,0.041786317024519,0.0671904983973799
"MAP4K2",-0.59005774926071,0.00251050706741975,0.00699973891704226
"TXNIP",-0.295187054433282,0.182568247732167,0.235384118943978
"CREB1",-0.321418245209758,0.0661429841655253,0.0990394948086966
"MAP3K1",0.507913687019421,0.00800684771456756,0.0170371270918994
"IL18",1.62315614407857,4.12105983278199e-05,0.000409023909113012
"CX3CR1",-0.53991600799788,0.048375420985309,0.0752211216419914
"PVR",0.1936304034988,0.424315280388453,0.49416141707791
"MAPK14",0.013710846460791,0.915442871793313,0.925251188276813
"CYFIP2",-0.653089720907899,0.0198927980273335,0.035857718737168
"IL13",-0.792499448848263,0.016139992907546,0.0303496212148539
"FCGR2A",0.718196379191457,0.00114698151724472,0.00391079240217174
"NFATC3",-0.271945319879286,0.0166616910309523,0.0310214379063125
"DMBT1",-0.864518927247994,0.0223823300014394,0.0397128488426793
"BCL2",-0.505710980630115,0.00475102912457129,0.0111058152969337
"IFNG",-0.700722096191031,0.00175892073780521,0.00518515175832162
"KLRD1",-0.750281129920111,0.0149582102625517,0.0285062188841894
"TBX21",-1.12556165158921,3.31965642447621e-07,3.01875839319468e-05
"CD4",1.0429116624833,1.83348922387699e-05,0.000216198937648829
"TNFRSF10B",0.592342119887933,0.00409226455784678,0.00998378662679813
"PAX5",-1.31137733409133,0.000563552197753971,0.00235705474678075
"TAPBP",0.0626793599956701,0.604558567509595,0.6614518218159
"CXCL1",0.652088900353867,0.0587410036926985,0.0893747529302885
"C2",-0.143582294465023,0.533210342472764,0.597617928395217
"FYN",-0.761115260411922,0.00017327854370191,0.00104335803973703
"BIRC5",-0.219195899301095,0.332212343320272,0.397531049300791
"ADA",-0.126160972093637,0.570822383272393,0.631026306508153
"CD7",-1.27330001456392,1.34616768805004e-05,0.000167064692847213
"NFATC1",-0.311315282312226,0.0306425788518839,0.0517722377019888
"CCL22",2.15009162874907,0.00520256571939324,0.0119216688144801
"TP53",-0.456687577643961,0.0574456468521238,0.0876394504536443
"FEZ1",-0.544962132597631,0.00628317925851295,0.0139444490479849
"POU2F2",0.389223865030742,0.0676890507265233,0.100821059766348
"PSMB9",-0.21367725238928,0.122392846582207,0.16612554236338
"TARP",-0.862198554719496,0.004092294165048,0.00998378662679813
"PNMA1",-0.263904797089685,0.232144178794675,0.291438644496537
"BTK",0.214939995458783,0.150277910440668,0.199197417586459
"ICAM2",-0.176635396737411,0.353963916378807,0.420889866954632
"CD99",0.325186488771823,0.0190260645301904,0.0346262139038192
"MR1",-0.0196789752468236,0.904003163041469,0.917574340190992
"HLA-G",0.42807650989425,0.155421965509793,0.204297147343541
"TNFRSF1B",0.592832974564188,0.0173197454341855,0.0320358690057157
"HLA-DRB4",1.07485571226264,0.0277600898510268,0.0474689149718465
"OSM",-0.824760829602864,0.00955463456425691,0.0198092423566645
"ARG2",-0.728088622587077,0.0473428667917254,0.0743260337890757
"MERTK",0.304904004716507,0.0673573823272978,0.100591763581136
"MX1",0.914661238672079,0.00373583390209542,0.00926440853260272
"CD68",1.08090477166449,0.000290284445187086,0.00142640661645395
"TNFRSF12A",-0.0274233826979405,0.869104977260441,0.887930355829259
"HAVCR2",1.61418501458786,0.000866624837495055,0.00320594547726929
"IFNAR2",0.8284991519153,0.000125093613206792,0.00081382741465568
"ECSIT",-0.000108434612715591,0.999174113309599,0.999174113309599
"MAF",-1.22727642020869,0.00659231307660775,0.0144926378326061
"CHIT1",0.9140144959726,0.0230976068709731,0.0407266214609682
"BST2",0.760162708662867,4.81040595796111e-05,0.000439116293537265
"BATF",-0.657698592792014,0.0620567265722419,0.0939147252403447
"LILRA1",0.296018186598202,0.141420005538457,0.189228659893066
"AKT3",-1.14755640120577,0.000123304299160613,0.000811514340987292
"LCK",-1.55888245889092,0.000564836942801131,0.00235705474678075
"LCP1",0.73646730649845,0.00151832259697302,0.00464524643182017
"ATF1",-0.123852145198883,0.518446014944869,0.582442860618178
"IGF1R",-1.4818894938583,5.89694774338219e-05,0.000498160063097659
"MAPKAPK2",0.379606243174992,0.00630702995809916,0.0139444490479849
"CCR6",-1.149101563,0.000635023765117137,0.00260451776127753
"CD5",-0.618287153787714,0.0165699698426976,0.0309524849206827
"IRF4",0.955542312372671,0.000226061387994739,0.00123029563081752
"JAK2",0.768854342079252,2.19078205594451e-05,0.00023140143737294
"LTBR",1.15993553205516,2.33976294931667e-06,7.35725460729577e-05
"TFE3",0.569260999083993,0.0082163118373518,0.0173523600744072
"CEACAM8",1.8095669615057,0.000268215751897426,0.00137781146359469
"CD79B",-0.734157152440675,0.0219894940036729,0.0392041323096473
"TPTE",-0.317635699551199,0.261102909156397,0.32057320299896
"IL26",-0.838976805075602,0.0140133236125671,0.0269780311724931
"IL23A",-0.126525468668574,0.649041749377194,0.698398536402076
"CD97",0.141502009990517,0.472952791566811,0.539700161344385
