"","B-cells","CD8 T cells","Cytotoxic cells","DC","Exhausted CD8","Monocytes","NK CD56dim cells","NK cells","T-cells","Th1 cells","Treg"
"107-27-004 C2D15",4.21945909347971,5.25322915484803,6.90349169293881,3.09001441128688,3.24315828416598,7.15743390385412,3.9766136558348,5.49369187231568,6.26986514136655,5.93131666526782,2.50505191056572
"107-27-004 C3D01",4.94522615431087,5.50661530655608,6.91968104882781,2.56393658952664,3.23060325619331,6.49988056448859,4.10974656306507,4.91415644859719,6.70630025049526,6.06643693005582,2.56393658952664
"107-27-004 C4D01",4.35725649010292,5.65981005000762,6.55613670496775,0.276545595708185,3.37628160183728,6.08555164435264,4.06239626391421,4.72999089351244,6.54877164852322,5.97698531384928,1.27654559570818
"107-27-004 FUW04",4.40950662980797,6.15091682264569,6.83985440833049,2.13610065862362,2.96671835740018,6.21116980427145,4.03218409500135,5.08502338662637,6.34424090548156,6.01874370798546,2.13610065862362
"107-27-004 FUW12",4.65816373508795,5.97287386816421,6.64867354186596,0.0609912282693789,3.48012050916693,5.96789518197978,4.39573138370878,4.75714993965876,6.77969158758183,6.06099122826938,3.23091622971169
"107-27-005 C1D01",3.87713489517529,5.1962252225123,7.08443465660654,4.28509832329383,3.7087453928121,7.14298508658048,4.78868188428338,4.80963631914254,6.67963715633119,6.60702641818119,3.65706710068078
"107-27-005 C1D08",3.50033735412013,5.01773327283166,6.9980646535122,1.00378027454672,2.96556608589968,5.85992987025229,4.36403633743883,5.05833284205039,6.3270976746451,6.80252206629962,3.11925749196666
"107-27-005 C1D15",3.40268979320943,4.9470159261614,7.20387124070138,2.58989316732834,3.50818900138283,7.08488263266463,4.3279995409286,5.27632569738464,6.3441571860566,6.6011204227516,2.1748556680495
"107-27-005 C1D22",4.05257376703694,4.24588358923484,6.34658495845633,2.96667323260051,3.07172308668594,7.19590980244743,3.50245000385038,4.65527849779478,6.48840864153885,5.84931628196235,1.96667323260051
"107-27-005 C2D01",3.64759332974783,4.69067319782349,6.70345653583056,2.10791818880282,2.97909540644212,5.99517755472681,4.39191780117363,4.69807169878753,6.51555135267439,6.61253858120637,2.59334501597306
"107-27-005 C2D08",4.08857940350291,5.52334891444442,7.57374163825861,2.05798024566298,4.10107458464464,6.04808212958564,5.11969716073856,5.57285391736001,6.7884064945851,6.98081238514052,3.64294274638414
"107-27-005 C2D15",3.99043199318583,5.48030829862882,7.12084333345729,2.04307373967075,3.98986373276594,7.24875165456733,4.70638918478278,5.06527079934998,6.4972098617177,6.70603875239318,3.2654661610072
"107-27-005 C3D01",3.43715033072499,5.13799683568866,6.47210498795507,0,3.53409561006392,6.05550230128443,4.48490988059264,4.51947723703823,6.17923429745467,6.42315469806704,2.93772787089679
"107-27-005 C4D01",3.64811144904307,5.27388268709079,6.96697353067276,3.06315080287165,3.85555642132135,6.78188448093147,4.58072023677716,4.744435842564,6.53320061769881,6.57772397570141,3.95623559895514
"107-27-005 FUW04",4.11116058460576,4.80540687215314,8.43571527743069,0.179074155928014,3.65797800330708,6.2431717607516,5.46996578268488,6.477518439442,6.24674843818268,7.85149949789951,2.17907415592801
"107-27-005 FUW12",3.47154829629683,4.37340767966607,6.58002887844414,0.214701372783639,3.2340319470367,6.97620681133135,3.92684485723299,4.75310917130905,5.82654958322104,6.13356461005823,2.21470137278364
"107-14-006 C2D01",3.30432740932794,5.7531432816477,5.91558256481924,2.86733337144383,3.12972353722373,7.45304362638256,2.86188301071828,3.20496036073867,6.1839151797562,4.66842930302975,2.07086676552896
"107-14-006 C2D15",4.14079263922946,5.906307951406,6.61109881680752,1.45993030298047,3.33095033861251,6.70346337006179,3.8538961840166,4.28070331752424,6.68044783488278,5.36682089858899,3.13800220809311
"107-14-006 C3D01",4.58873829389334,6.73442754214306,6.82868276346103,0.679185887234944,3.78423574132038,5.62423995679942,4.12654410990132,4.28634544763533,6.62159917937775,6.44737021201187,2.84911088867726
"107-14-006 C4D01",4.80168452882916,6.61736886577187,6.80641435912377,0.796719289474693,3.22151919774295,5.70892373303955,3.64022419504095,4.80543282535379,6.86604132973815,5.76634564043117,3.5336848836409
"107-14-006 FUW04",4.45611961148805,6.642040724323,7.02531107490139,1.60839824466664,3.38237427629576,6.13634787147013,3.58618584698988,5.16613685337661,7.05695166551898,5.66729193372021,2.34536383883285
"107-21-007 C1D-7",3.40215992354021,5.56224930701061,6.52710307948934,4.67609997337137,3.20082556470654,7.62882536345418,4.68646533344664,4.67011365253833,6.33197299344494,6.35962630857611,3.21666835473407
"107-21-007 C1D01",3.62707217931748,4.70042287423656,6.23746945421309,5.3141281222881,2.75831990198372,8.13177506257881,3.86097066348899,4.45751394702497,5.5018512399767,5.85844863851191,2.72916562156694
"107-21-007 C1D08",3.70609082129004,4.76472104931361,5.57266150336517,7.13222308823007,3.38172538698372,8.7936248603029,3.2488755948203,3.62457564679129,5.55372691947657,5.44351266267109,2.78054764994866
"107-21-007 C1D15",3.60265248710389,4.68696146699829,6.04368871173793,6.33600679730475,2.73162404581479,8.5627955528839,4.04407529217718,4.31157577015267,5.83029414987844,5.88513719217087,3.29161267794629
"107-21-007 C1D22",3.63907670808754,5.655588886781,6.1762075644121,3.97901547403196,3.25979892183656,7.28424807000245,4.46502282349283,4.22494202219679,5.99838938288016,5.67945519217305,3.43844709266925
"107-21-007 C2D01",3.67512123662479,4.50941742686599,5.8433737055244,6.77043850348588,2.75171817797039,8.09101220321505,3.78850117916879,3.92097854582395,5.75855351387345,5.50967427127691,2.68864441232223
"107-21-007 C2D08",3.83249396145054,4.72478586477922,5.64527177152732,8.81835311930677,3.4096850377435,9.05079859420613,3.71237754126315,4.59390253494392,5.180892962804,4.89738733848653,2.80992449723619
"107-21-007 C2D15",3.82777721609081,5.56951576239279,5.54501966907091,6.12829584788043,3.01328289841624,8.60656162456256,3.98010434056593,3.63426565453619,5.86399518109407,5.30663308913894,3.88036833443684
"107-21-007 C3D01",4.752055337774,6.09219411149412,5.72353353435895,4.12461158669227,3.76024178522844,6.07015896970089,3.76024178522844,2.96598325437494,6.03597369306624,5.70957408741342,3.70957408741343
"107-21-007 C4D01",3.34549563119657,5.0210253859539,5.8989704048976,5.54806682725885,3.00068058295587,6.89837203819592,4.07240328114539,3.80454568231585,6.21977966433045,5.80008441770457,2.58937380141576
"107-21-007 FUW04",4.45860051064818,5.73856572116018,6.00276537269051,3.02913343246502,2.78347823440962,6.15214931361699,4.21636433959779,3.93281089349382,6.42479152091706,5.77329452803543,2.70720533757766
"107-21-007 FUW12",4.60903332063145,5.70812209923135,5.5972203650758,1.5316712499896,2.84685532198214,6.99294444518477,3.76975308921164,3.68760846510132,6.22037027938161,5.56141859338366,2.26863684415581
"107-27-002 C1D01",4.53489257593533,6.14358298841285,7.40631771054496,1.5577193663747,3.79635048989057,6.74179317557685,3.69725095419722,5.3207537722085,6.72536152648878,6.18998758187421,2.40571627292965
"107-27-002 C1D08",3.32062726797037,6.73400343883871,6.62308441538872,2.69500218283808,3.87644235491268,6.30243727067927,4.67278978516131,4.25274079154804,6.9545221072169,6.23932269906189,2.69500218283808
"107-27-002 C1D15",4.2765489508399,5.64720905286618,7.06432471325357,2.19879058739388,3.06926882475466,5.83274809434118,4.55115365146282,5.03027309375509,6.30594950517395,6.12162272687142,2.78375308811503
"107-27-002 C1D22",3.89272314416833,5.94189574934771,6.67951886243187,3.10895450129535,3.54142934713365,6.89972625384243,3.96643169630027,4.28261120794898,6.4958000073504,5.85145827900298,0
"107-27-002 C2D01",3.9054936734483,5.45954919816624,6.64946541977154,2.44205148748814,3.23768462373695,6.01765448053148,3.70613627236412,4.21210561995659,6.57331384451637,5.84414993105948,2.21965906615169
"107-27-002 C2D08",4.07436444909071,6.05510448553593,6.53241196972222,3.98308130072758,3.65357984700686,6.51981890815516,4.19383737256075,4.2609893782584,6.30279340816778,6.41604070800369,2.98308130072758
"107-27-002 C2D15",4.14541004760888,6.22111246908244,6.58495159919401,2.89828325287808,3.5797479593309,6.53769955416421,4.49952576172912,4.03167652322553,6.34070925174191,5.29060067565684,2.22021134776544
"107-10-004 C1D-7",3.40793968566187,5.65077234995405,7.22446222092057,1.5173790796066,4.31481822053286,5.3714598876803,4.91109649856179,4.99302143709009,6.57678007145215,6.85722908249123,2.83930717449397
"107-10-004 C1D01",3.23102280946524,4.84097120905634,6.90589012056321,2.37167148138841,4.0579693777396,7.24783687165063,4.15665253209352,5.19359957627578,5.98942455788411,6.6693520300291,1.37167148138841
"107-10-004 C1D15",2.65911273219573,4.60585327891315,7.03942570447171,2.00970687167777,3.86378767975146,7.27794382070376,4.39083460967437,5.25312438245929,6.19426817104284,6.38474630302469,0.00970687167776494
"107-10-004 C1D22",3.26119355768001,4.97235276314939,7.65971314001605,0.169613004118558,4.1952182031355,5.21516992489917,4.85684923900543,6.2504938757709,6.84028734816901,6.95097271764322,2.97696792617616
"107-10-004 C2D01",3.65893537479972,5.09876872659838,6.68265071307026,1.68390735905535,4.21222819262907,6.15889188280904,4.45221458224925,4.68390735905535,6.02059778718143,6.41182781361855,2.68390735905535
