"","C1D08 log2fc","C1D15 log2fc","C1D22 log2fc","C2D01 log2fc","C2D08 log2fc","C2D15 log2fc","C3D01 log2fc","C4D01 log2fc","FUW04 log2fc","FUW12 log2fc","C1D08 p.value","C1D15 p.value","C1D22 p.value","C2D01 p.value","C2D08 p.value","C2D15 p.value","C3D01 p.value","C4D01 p.value","FUW04 p.value","FUW12 p.value","C1D08 BH.FDR","C1D15 BH.FDR","C1D22 BH.FDR","C2D01 BH.FDR","C2D08 BH.FDR","C2D15 BH.FDR","C3D01 BH.FDR","C4D01 BH.FDR","FUW04 BH.FDR","FUW12 BH.FDR"
"TLR10",0.411551628817647,0.644588359072465,0.208214074416192,0.317673759236927,0.446434959020041,0.566371329474804,0.40903988114327,0.738723704799337,0.583295348748388,0.574185869344251,0.310349798971222,0.0251142058460678,0.62007150910208,0.406809494203497,0.200678553527283,0.0924483232735531,0.200457042866212,0.0115628655814885,0.112109862375169,0.0836964771519404,0.840468833577567,0.373245874658575,0.923090332345339,0.985597039484581,0.880215769603307,0.728961031233773,0.976462085782201,0.999422392379728,0.855921200397625,0.512177538895592
"OAS3",-0.230084900736155,-0.354719796837746,0.000382998966082243,-0.59784963969751,-0.481595578386858,-0.276144071105517,-0.333495608288425,-0.592543094414291,0.128176067726143,0.471090190626938,0.553357713070169,0.286321919792849,0.998708218827475,0.0692509359217797,0.120417170687905,0.175514364359944,0.328474178829354,0.247541521882172,0.763364065395362,0.318403736656906,0.873165785723496,0.681006310565548,0.999828500358099,0.985597039484581,0.872198138865918,0.773568032233672,0.976462085782201,0.999422392379728,0.951682953774835,0.732333120225282
"F13A1",-0.484514440157731,0.53437867939118,0.089425931176622,0.222514774437388,0.149693034643796,0.380939457733938,-0.109428319561518,0.0221804307124803,0.420839751547487,0.24813116202906,0.214000382447062,0.0963311834242302,0.662881553326343,0.349514230228858,0.42684665611077,0.0737303328766588,0.645389344275063,0.933098019393976,0.209042035636168,0.398948221530723,0.829332058865982,0.500215135946003,0.937977397956775,0.985597039484581,0.964187665358425,0.695522806803148,0.976462085782201,0.999422392379728,0.86556571027551,0.762853693872936
"CD22",-0.186504720030496,0.102302453432212,-0.313812911757857,0.146806034290248,-0.273990291710385,-0.0397262736780385,-0.0870990357395984,0.00625465115225445,0.261884936991338,0.267151665310942,0.624981884979343,0.550769357054093,0.154540643526023,0.436987669548663,0.244590207953929,0.846326133651293,0.716525159072882,0.977122733472267,0.181867402244734,0.0926644330227986,0.894068915952679,0.842528259709775,0.835609065321038,0.985597039484581,0.916808329151813,0.979658841703424,0.976462085782201,0.999422392379728,0.857159173798042,0.512177538895592
"SMPD3",-0.582857450015806,-0.443575286531716,-0.319251485866631,-0.065899278561827,0.0628619212212872,-0.489396313145052,-0.435063765475888,-0.239555704661071,-0.349304608186517,-0.0208340016423727,0.0371343150761036,0.169313021102035,0.342612014269755,0.847074488190343,0.89349093144787,0.140531310039426,0.0769906945126929,0.547365987251496,0.445085113219574,0.932730082899906,0.829332058865982,0.573839340980551,0.850641391643154,0.992733734566358,0.980338618042941,0.76166317409536,0.97228035876662,0.999422392379728,0.925504671078065,0.971248832652611
"TIRAP",0.0103443455875894,0.110083804024916,-0.281271844384263,-0.406438760832281,-0.162069410441952,-0.133049932636571,0.115970968000484,-0.35210536077886,-0.388543128984564,-0.305447818247884,0.970847201793446,0.660982359862971,0.306361754632974,0.315443922609258,0.580640569996699,0.521030103729534,0.629724992605541,0.18209750399376,0.250735797395219,0.265623438881717,0.997011108060841,0.905849916906638,0.835609065321038,0.985597039484581,0.964187665358425,0.889209240060453,0.976462085782201,0.999422392379728,0.86556571027551,0.6833766654866
"CD83",-0.395516965585892,0.0957066687519259,-0.198682915897798,-0.123474828489136,-0.128983008505952,-0.0949668159919802,-0.2706856700801,-0.113834007561476,0.0530442858419833,0.317987555180158,0.266351278481241,0.556607017243365,0.193989477589066,0.489330912183318,0.269235309195737,0.496766892149938,0.157814675948869,0.664393871559969,0.855106012051224,0.233140287459231,0.829332058865982,0.846015029257163,0.835609065321038,0.985597039484581,0.933345290290352,0.873198947071009,0.976462085782201,0.999422392379728,0.954291506392401,0.664359860652414
"STAT5B",0.103346525484023,0.0892081182339926,0.0086221321980319,0.0131485986068397,0.280865582636282,-0.0443981074712083,-0.0793989118396382,0.0218864274987118,0.108180836016316,0.334941558413361,0.608766800643928,0.487767426285196,0.956046210158828,0.919321998488265,0.11710408108059,0.775738291591361,0.545020983632481,0.896093595621273,0.612101749230671,0.0224486824762743,0.888334150425461,0.807007215605778,0.976668746343485,0.997247550709708,0.872198138865918,0.971967707071112,0.976462085782201,0.999422392379728,0.950811994342761,0.401058195700758
"KLRG1",-0.401463914983793,-0.172722544270811,-0.364215348783223,-0.307900088534768,-0.0382527243755535,-0.161378829981114,-0.26448577202583,-0.285082728679603,0.0424545760380768,-0.184600643348379,0.0169604152684384,0.249935787496064,0.0934364398425659,0.0807143278537907,0.800296463875092,0.351875321348632,0.2315752048149,0.283632675292638,0.838166639079706,0.343339681408167,0.829332058865982,0.681006310565548,0.827091246397003,0.985597039484581,0.980338618042941,0.840484054648286,0.976462085782201,0.999422392379728,0.954291506392401,0.745767723213469
"MAP2K2",-0.0551295824057668,-0.100827055052564,-0.0316892123447141,-0.135977248114881,-0.163136307988451,-0.0961079734594742,-0.170434476561249,-0.0144072628524523,0.0569806183040968,-0.0124539894996397,0.705312099606183,0.36179712137702,0.808606321600975,0.434288720676377,0.240284801808433,0.347001234107661,0.119141602872017,0.902518359934412,0.694581217767534,0.931281174028533,0.938825725477138,0.724847329344763,0.951499330615701,0.985597039484581,0.916808329151813,0.840484054648286,0.97228035876662,0.999422392379728,0.951009965507351,0.971248832652611
"CXCR2",0.222798010824949,-0.022909633243497,-0.13089299943564,0.0352888472953638,0.0278232320951884,0.0809227071571278,0.207038671088911,-0.105400880504143,0.83894565521238,0.514375768192404,0.41735121287676,0.950198663802206,0.625532593976298,0.892452990440332,0.91870843612804,0.595427477297678,0.384801236284773,0.657400940632437,0.0571474117837732,0.131508158532246,0.851663772031153,0.980570621520497,0.923090332345339,0.997247550709708,0.980338618042941,0.899440712061095,0.976462085782201,0.999422392379728,0.855921200397625,0.568195555185124
